symbol,synonym_symbol,scientific_name,common_name,fips_code
CEFOV2,CEVUH2,Cerastium vulgatum L. var. holosteoides auct.,NA,US06
CEFOV2,CEHO,Cerastium holosteoides auct. non Fr.,NA,US06
CEFOV2,CEVUH,Cerastium vulgatum L. var. hirsutum Fr.,NA,US06
CEFOV2,NA,Cerastium fontanum Baumg. ssp. vulgare (Hartm,big chickweed,US06
CEFOV2,CEVU,"Cerastium vulgatum L., nom. utique rej.",NA,US06
CEFOV2,CEFOT,Cerastium fontanum Baumg. ssp. triviale (Link,NA,US06
CEFR,NA,Ceanothus fresnensis Dudley ex Abrams,Fresno mat,US06
CEGL,NA,Ceanothus gloriosus J.T. Howell,Point Reyes ceanothus,US06
CEGL2,NA,Cerastium glomeratum Thuill.,sticky chickweed,US06
CEGL2,CEAC2,Cerastium acutatum Suksd.,NA,US06
CEGL2,CEGLA,Cerastium glomeratum Thuill. var. apetalum (D,NA,US06
CEGL2,CEVI3,"Cerastium viscosum L., nom. utique rej.",NA,US06
CEGLE,NA,Ceanothus gloriosus J.T. Howell var. exaltatu,Point Reyes ceanothus,US06
CEGLG3,NA,Ceanothus gloriosus J.T. Howell var. gloriosu,Point Reyes ceanothus,US06
CEGLG3,CERIG,Ceanothus rigidus Nutt. var. grandiflorus Tor,NA,US06
CEGLG3,CEPRG,Ceanothus prostratus Benth. var. grandiflorus,NA,US06
CEGLP,NA,Ceanothus gloriosus J.T. Howell var. porrectu,Mt. Vision ceanothus,US06
CEGR,NA,Ceanothus greggii A. Gray,desert ceanothus,US06
CEGR2,NA,Ceanothus griseus (Trel.) McMinn,Carmel ceanothus,US06
CEGR2,CEGRH,Ceanothus griseus (Trel.) McMinn var. horizon,NA,US06
CEGRP,CEGRP2,Ceanothus greggii A. Gray ssp. perplexans (Tr,NA,US06
CEGRP,NA,Ceanothus greggii A. Gray var. perplexans (Tr,desert ceanothus,US06
CEGRP,CEPE6,Ceanothus perplexans Trel.,NA,US06
CEGRV,CEGRV2,Ceanothus greggii A. Gray ssp. vestitus (Gree,NA,US06
CEGRV,NA,Ceanothus greggii A. Gray var. vestitus (Gree,Mojave ceanothus,US06
CEGRV,CEVE9,Ceanothus vestitus Greene,NA,US06
CEHE2,NA,Ceanothus hearstiorum Hoover & J.B. Roof,Hearst Ranch buckbrush,US06
CEIB,NA,Centaurea iberica Trevir. ex Spreng.,Iberian knapweed,US06
CEIM,NA,Ceanothus impressus Trel.,Santa Barbara ceanothus,US06
CEIMI,NA,Ceanothus impressus Trel. var. impressus,Santa Barbara ceanothus,US06
CEIMN,NA,Ceanothus impressus Trel. var. nipomensis McM,Santa Barbara ceanothus,US06
CEIN,NA,Ceanothus incanus Torr. & A. Gray,coast whitethorn,US06
CEIN3,CEINC,Ceanothus integerrimus Hook. & Arn. var. cali,NA,US06
CEIN3,CEINM,Ceanothus integerrimus Hook. & Arn. var. macr,NA,US06
CEIN3,CECA7,Ceanothus californicus Kellogg,NA,US06
CEIN3,NA,Ceanothus integerrimus Hook. & Arn.,deerbrush,US06
CEIN3,CEAN2,Ceanothus andersonii Parry,NA,US06
