symbol,synonym_symbol,scientific_name,common_name,fips_code
ACPA,NA,Actaea pachypoda Elliott,white baneberry,US25
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,NA,US25
ACPE,NA,Acer pensylvanicum L.,striped maple,US25
ACPL,NA,Acer platanoides L.,Norway maple,US25
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nichol,NA,US25
ACPS,NA,Acer pseudoplatanus L.,sycamore maple,US25
ACPT,NA,Achillea ptarmica L.,sneezeweed,US25
ACRA7,NA,Actaea racemosa L.,black baneberry,US25
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,NA,US25
ACRAR,NA,Actaea racemosa L. var. racemosa,black bugbane,US25
ACRH,NA,Acalypha rhomboidea Raf.,common threeseed mercury,US25
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) ,NA,US25
ACRU,NA,Acer rubrum L.,red maple,US25
ACRU,ACBA2,Acer barbatum Michx. p.p.,NA,US25
ACRU2,NA,Actaea rubra (Aiton) Willd.,red baneberry,US25
ACRUR,ACST,Acer stenocarpum Britton,NA,US25
ACRUR,NA,Acer rubrum L. var. rubrum,red maple,US25
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,NA,US25
ACRUR,RURU5,Rufacer rubrum (L.) Small,NA,US25
ACRUR2,NA,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,US25
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,NA,US25
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,NA,US25
ACRUT,NA,Acer rubrum L. var. trilobum Torr. & A. Gray ,red maple,US25
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,NA,US25
ACRUT,ACCA9,Acer carolinianum Walter,NA,US25
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,NA,US25
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,NA,US25
ACSA2,ACDA2,Acer dasycarpum Ehrh.,NA,US25
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,NA,US25
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,NA,US25
ACSA2,NA,Acer saccharinum L.,silver maple,US25
ACSA3,NA,Acer saccharum Marshall,sugar maple,US25
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmid,NA,US25
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K.,NA,US25
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schm,NA,US25
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,NA,US25
ACSAS,NA,Acer saccharum Marshall var. saccharum,sugar maple,US25
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) R,NA,US25
ACSP2,NA,Acer spicatum Lam.,mountain maple,US25
ACTA80,NA,Acer tataricum L.,tatarian maple,US25
ACTAE,NA,Actaea L.,baneberry,US25
ACTIN3,NA,Actinidia Lindl.,actinidia,US25
ACVI,NA,Acalypha virginica L.,Virginia threeseed mercury,US25
ADFU,NA,"Adlumia fungosa (Aiton) Greene ex Britton, St",allegheny vine,US25
ADIAN,NA,Adiantum L.,maidenhair fern,US25
ADLUM,NA,Adlumia Raf. ex DC.,adlumia,US25
ADPE,NA,Adiantum pedatum L.,northern maidenhair,US25
AEAR5,NA,Aesculus ×arnoldiana Sarg. [glabra × hybrida],Arnold buckeye,US25
AECY2,NA,Aethusa cynapium L.,fool's parsley,US25
AEGOP,NA,Aegopodium L.,goutweed,US25
AEHI,NA,Aesculus hippocastanum L.,horse chestnut,US25
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H.,NA,US25
AEPO,NA,Aegopodium podagraria L.,bishop's goutweed,US25
AESCU,NA,Aesculus L.,buckeye,US25
AETHU,NA,Aethusa L.,aethusa,US25
AGAC,NA,Agalinis acuta Pennell,sandplain false foxglove,US25
AGAC,GEAC3,Gerardia acuta (Pennell) Pennell,NA,US25
AGAL5,NA,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,US25
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomente,NA,US25
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altiss",NA,US25
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fe,NA,US25
AGALA,EURU6,Eupatorium rugosum Houtt.,NA,US25
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B,NA,US25
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fe,NA,US25
AGALA,NA,Ageratina altissima (L.) R.M. King & H. Rob. ,white snakeroot,US25
AGALI,NA,Agalinis Raf.,false foxglove,US25
AGAR4,NA,Ageratina aromatica (L.) Spach,lesser snakeroot,US25
AGARA,EUARA,Eupatorium aromaticum L. var. aromaticum,NA,US25
AGARA,EULA11,Eupatorium latidens Small,NA,US25
AGARA,EUAR7,Eupatorium aromaticum L.,NA,US25
AGARA,NA,Ageratina aromatica (L.) Spach var. aromatica,lesser snakeroot,US25
AGAST,NA,Agastache Clayton ex Gronov.,giant hyssop,US25
AGCA4,NA,Agrostis canina L.,velvet bentgrass,US25
AGCA4,AGCAV,Agrostis canina L. var. varians (Thuill.) Duc,NA,US25
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell,NA,US25
AGCA5,AGSY2,Agrostis sylvatica Huds.,NA,US25
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,NA,US25
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) ,NA,US25
AGCA5,AGVU2,Agrostis vulgaris With.,NA,US25
