symbol,synonym_symbol,scientific_name,common_name,fips_code
ACRUR2,NA,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,US02
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,NA,US02
ACSI,NA,Achillea sibirica Ledeb.,Siberian yarrow,US02
ACSI,ACMU3,Achillea multiflora Hook.,NA,US02
ACTAE,NA,Actaea L.,baneberry,US02
ADAL,ADPEA,Adiantum pedatum L. var. aleuticum Rupr.,NA,US02
ADAL,ADPES2,Adiantum pedatum L. var. subpumilum W.H. Wagn,NA,US02
ADAL,ADPEA2,Adiantum pedatum L. ssp. aleuticum (Rupr.) Ca,NA,US02
ADAL,NA,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,US02
ADAL,ADPEC,Adiantum pedatum L. ssp. calderi Cody,NA,US02
ADAL,ADPES,Adiantum pedatum L. ssp. subpumilum (W.H. Wag,NA,US02
ADIAN,NA,Adiantum L.,maidenhair fern,US02
ADMO,NA,Adoxa moschatellina L.,muskroot,US02
ADOXA,NA,Adoxa L.,adoxa,US02
AGAE,POAE,Podagrostis aequivalvis (Trin.) Scribn. & Mer,NA,US02
AGAE,NA,Agrostis aequivalvis (Trin.) Trin.,arctic bentgrass,US02
AGAU2,NA,Agoseris aurantiaca (Hook.) Greene,orange agoseris,US02
AGAUA,AGRO2,Agoseris rostrata Rydb.,NA,US02
AGAUA,NA,Agoseris aurantiaca (Hook.) Greene var. auran,orange agoseris,US02
AGAUA,TRAU8,Troximon aurantiacum Hook.,NA,US02
AGAUA,AGGR7,Agoseris graminifolia Greene,NA,US02
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) ,NA,US02
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,NA,US02
AGCA5,NA,Agrostis capillaris L.,colonial bentgrass,US02
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell,NA,US02
AGCA5,AGTE,Agrostis tenuis Sibth.,NA,US02
AGCA5,AGSY2,Agrostis sylvatica Huds.,NA,US02
AGCA5,AGVU2,Agrostis vulgaris With.,NA,US02
AGCL,NA,Agrostis clavata Trin.,clavate bentgrass,US02
AGCR,NA,Agropyron cristatum (L.) Gaertn.,crested wheatgrass,US02
AGCRP8,AGCR3,Agropyron cristatiforme Sarkar,NA,US02
AGCRP8,AGPE6,Agropyron pectinatum (M. Bieb.) P. Beauv.,NA,US02
AGCRP8,NA,Agropyron cristatum (L.) Gaertn. ssp. pectina,crested wheatgrass,US02
